image_path,n_boxes,mean_conf,gt_chars,pred_chars,doc_similarity
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_1/batch1-0128.jpg,74,0.9791091718387281,748,706,0.8335625859697386
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_2/batch1-0990.jpg,48,0.9833105812297992,533,499,0.8449612403100775
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_1/batch1-0087.jpg,47,0.983596123624261,523,490,0.8134254689042448
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1295.jpg,85,0.9857753687519348,879,832,0.7738164815897136
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_1/batch1-0249.jpg,101,0.984727168925499,989,936,0.798961038961039
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_2/batch1-0684.jpg,83,0.9868099058253784,878,828,0.794841735052755
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1431.jpg,67,0.9850247714995565,794,732,0.6841415465268676
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_1/batch1-0068.jpg,57,0.983894995701032,662,610,0.5911949685534591
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1307.jpg,67,0.9853265159495579,785,720,0.6777408637873754
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1246.jpg,93,0.9866478410661127,926,885,0.8139149641082275
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1091.jpg,47,0.9851662763999793,512,479,0.7830474268415741
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1417.jpg,55,0.9861208156335403,602,569,0.7907771135781383
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_2/batch1-0506.jpg,57,0.9821500790713525,663,611,0.6075353218210361
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_1/batch1-0021.jpg,87,0.9826237393370896,998,915,0.6042864610559331
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_2/batch1-0568.jpg,96,0.9834723107766893,1023,962,0.7808564231738035
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_2/batch1-0751.jpg,95,0.9849263674416067,972,923,0.7261213720316623
