line_id,text,score,detector_text,detector_score,crop_source,crop_h,crop_w,line_height_px,detector_box
1,"'a X0u,uEgi",0.6480749845504761,QAQUES,0.8857029378414154,rapidocr_box,501,1202,501,"[[24.66, 0.0], [1225.91, 47.58], [1199.49, 548.01], [0.0, 484.58]]"
2,Duudi17ausamedi[9avril2025,0.9686753153800964,Du jeudi 17 au samedi19 avril 2025,0.9527824433410869,rapidocr_box,52,709,52,"[[900.06, 96.92], [1609.89, 109.25], [1609.89, 162.11], [900.06, 149.78]]"
3,LUND[iz,0.7978711724281311,LUNDI21,0.9886915257998875,rapidocr_box,52,153,52,"[[2124.2, 121.58], [2254.55, 202.64], [2226.36, 246.69], [2097.78, 165.64]]"
4,XCEp,0.9750943779945374,XCEPT,0.9857351660728455,rapidocr_box,45,79,45,"[[2192.9, 125.11], [2266.88, 155.06], [2249.26, 197.35], [2175.28, 167.4]]"
5,PT i neLLe:,0.7229406237602234,PTIONNELLE,0.992470133304596,rapidocr_box,56,196,56,"[[2251.02, 146.25], [2418.35, 250.22], [2388.41, 297.79], [2221.08, 193.83]]"
6,20h,0.8837213516235352,20h,0.9950298468271891,rapidocr_box,41,72,41,"[[2289.77, 280.17], [2353.18, 315.42], [2332.05, 350.66], [2270.4, 315.42]]"
7,Atlontigue/NordEst,0.9773326516151428,Atlantique Nord Est,0.9601925674237703,rapidocr_box,88,514,88,"[[119.77, 549.77], [634.09, 555.06], [634.09, 643.17], [119.77, 637.88]]"
8,Aitlon tiqule INord iaest,0.8936084508895874,Atlantique INord Est,0.9219613328576088,rapidocr_box,93,519,93,"[[796.14, 562.11], [1315.74, 581.49], [1312.22, 674.88], [792.61, 655.5]]"
9,EFRANGE,0.9625614881515503,FRANCE,0.977102259794871,rapidocr_box,148,470,148,"[[1530.62, 583.25], [2000.91, 597.35], [1995.62, 745.37], [1525.34, 731.27]]"
10,I,0.5894467234611511,W,0.596257209777832,rapidocr_box,28,40,28,"[[1356.25, 1083.69], [1396.76, 1083.69], [1396.76, 1111.88], [1356.25, 1111.88]]"
11,Lekg,0.9764750003814697,Lekg,0.9881645888090134,rapidocr_box,44,92,44,"[[170.85, 1118.93], [262.44, 1131.27], [257.16, 1175.32], [165.57, 1162.98]]"
12,Soit3,0.9152754545211792,Soit3E,0.8983068267504374,rapidocr_box,54,155,54,"[[1046.25, 1108.36], [1201.25, 1103.07], [1203.01, 1157.7], [1048.01, 1162.98]]"
13,'ekg,0.8229806423187256,Lekg,0.9901318103075027,rapidocr_box,44,93,44,"[[873.64, 1125.98], [965.23, 1141.84], [958.18, 1185.89], [866.59, 1168.27]]"
14,229,0.9899381995201111,229,0.7978906035423279,rapidocr_box,118,211,118,"[[109.2, 1161.22], [320.57, 1148.89], [327.61, 1266.95], [116.25, 1279.28]]"
15,296,0.8028910160064697,2969,0.7221301980316639,rapidocr_box,124,218,124,"[[804.94, 1173.56], [1021.59, 1148.89], [1035.68, 1272.23], [819.03, 1296.9]]"
16,Laportiomde1009,0.9662305116653442,laportionde100g,0.9631693204243977,rapidocr_box,47,295,47,"[[1049.77, 1162.98], [1345.68, 1168.27], [1345.68, 1215.85], [1049.77, 1210.56]]"
17,Lekg,0.929970383644104,Lekg,0.9844723492860794,rapidocr_box,46,95,46,"[[1594.03, 1222.9], [1689.15, 1235.23], [1683.86, 1281.04], [1588.75, 1268.71]]"
18,DOSDEcBILLAUD,0.9695709943771362,DOSDECABILLAUD,0.9958644168717521,rapidocr_box,40,283,40,"[[334.66, 1242.28], [618.24, 1247.56], [618.24, 1288.09], [334.66, 1282.81]]"
19,NoIxDESANT[AcQUES,0.8408913612365723,NOIXDESAINT-JACQUES,0.993413159721776,rapidocr_box,40,362,40,"[[1039.2, 1254.61], [1402.05, 1261.66], [1402.05, 1302.19], [1039.2, 1295.14]]"
20,ANEAUFRNCASS,0.8769164681434631,AGNEAUFRANCAIS,0.9867375705923352,rapidocr_box,52,459,52,"[[1893.47, 1242.28], [2353.18, 1249.33], [2353.18, 1302.19], [1893.47, 1295.14]]"
21,24',0.7787477970123291,245,0.9422191580136617,rapidocr_box,145,258,145,"[[1507.73, 1270.47], [1764.89, 1244.04], [1778.98, 1388.53], [1521.82, 1414.96]]"
22,(Pectenmaximus),0.9676805138587952,(Pecten maximus),0.9549124054610729,rapidocr_box,35,211,35,"[[1039.2, 1289.85], [1250.57, 1295.14], [1250.57, 1330.38], [1039.2, 1325.1]]"
23,Atlantique NordEst,0.9913161396980286,Atlantique Nord Est,0.9660931355074832,rapidocr_box,93,526,93,"[[102.16, 1374.44], [628.81, 1381.48], [627.05, 1474.88], [100.4, 1467.83]]"
24,Pecheeser,0.946639895439148,Pecheesen,0.9762021766768562,rapidocr_box,37,128,37,"[[153.24, 1358.58], [281.82, 1362.1], [281.82, 1399.1], [153.24, 1395.58]]"
25,Eluev ier,0.8350707292556763,Eleveen,0.9725979822022575,rapidocr_box,37,102,37,"[[822.56, 1365.62], [924.72, 1369.15], [922.95, 1406.15], [820.8, 1402.63]]"
26,NOrvege,0.9644872546195984,Norvege,0.9566420061247689,rapidocr_box,67,206,67,"[[792.61, 1402.63], [998.69, 1416.73], [993.41, 1483.69], [787.33, 1469.59]]"
27,aGNEUFRNCS,0.9123703837394714,AGNEAUFRANCAIS:,0.9873383243878683,rapidocr_box,45,396,45,"[[1513.01, 1432.58], [1909.32, 1437.87], [1909.32, 1483.69], [1513.01, 1478.4]]"
28,GIGOT**ENTIERAVEco,0.8821997046470642,GIGOT***ENTIERAVECOS,0.9784401148557663,rapidocr_box,47,496,47,"[[1513.01, 1478.4], [2009.72, 1487.21], [2009.72, 1534.79], [1513.01, 1525.98]]"
29,Airbtirx,0.870573878288269,Arotirx1,0.967709444463253,rapidocr_box,47,140,47,"[[1511.25, 1527.74], [1652.16, 1531.26], [1650.4, 1578.84], [1509.49, 1575.31]]"
30,Fabrfiquee dars ro,0.9362236857414246,Fabriquee dansnos,0.9655855122734519,rapidocr_box,37,230,37,"[[1528.86, 1691.61], [1759.6, 1696.9], [1759.6, 1733.9], [1528.86, 1728.62]]"
31,Ateliers,0.9889298677444458,Ateliers,0.9675108715891838,rapidocr_box,95,235,95,"[[1476.02, 1725.09], [1710.28, 1744.48], [1703.24, 1839.63], [1468.98, 1820.25]]"
32,Pou vrei in o ttes,0.7899284362792969,Pauvre en aretes,0.9217729158699512,rapidocr_box,29,181,29,"[[1123.75, 1827.29], [1305.17, 1830.82], [1305.17, 1860.77], [1123.75, 1857.25]]"
33,Lekg,0.9399838447570801,Lekg,0.9903317093849182,rapidocr_box,44,84,44,"[[179.66, 1938.31], [264.2, 1941.83], [262.44, 1985.88], [177.9, 1982.36]]"
34,17,0.9999942183494568,17,0.9993569552898407,rapidocr_box,109,112,109,"[[137.39, 1977.07], [250.11, 1977.07], [250.11, 2086.32], [137.39, 2086.32]]"
35,99,0.8757855296134949,99,0.9941941499710083,rapidocr_box,54,56,54,"[[251.88, 2007.03], [308.24, 2007.03], [308.24, 2061.65], [251.88, 2061.65]]"
