line_id,text,score,detector_text,detector_score,crop_source,crop_h,crop_w,line_height_px,detector_box
1,Invoice358559,0.9845761656761169,Invoice #358559,0.9528748313585917,rapidocr_box,58,484,58,"[[995.17, 136.07], [1479.55, 132.54], [1479.55, 190.85], [995.17, 194.39]]"
2,Emaill:tbrianbrianbossierdesign.com,0.9798115491867065,Email:brian@brianbossierdesign.com,0.9982179473428165,rapidocr_box,51,752,51,"[[1590.51, 291.58], [2342.61, 295.11], [2342.61, 346.36], [1590.51, 342.82]]"
3,Call[--623-777-9044,0.9246017932891846,Call:+1-623-777-9044,0.9975056201219559,rapidocr_box,45,445,45,"[[1893.47, 362.26], [2339.09, 362.26], [2339.09, 408.21], [1893.47, 408.21]]"
4,Fax402340-908-890,0.9515032768249512,Fax:+012340-908-890,0.9978887752482766,rapidocr_box,45,452,45,"[[1886.42, 427.65], [2339.09, 427.65], [2339.09, 473.59], [1886.42, 473.59]]"
5,ClientInformation,0.958926260471344,Client Information,0.9815224839581383,rapidocr_box,53,461,53,"[[140.91, 599.06], [602.39, 599.06], [602.39, 652.07], [140.91, 652.07]]"
6,PoLLoMOHINE8WVELDING,0.9062976837158203,APOLLOMACHINE&WELDING,0.9891049067179362,rapidocr_box,45,662,45,"[[140.91, 749.27], [803.18, 749.27], [803.18, 795.21], [140.91, 795.21]]"
7,"Address44-93Street,Edmonton,T6E5Y3",0.9730046391487122,"Address:4141-93Street,Edmonton,T6E5Y3",0.9753609847378086,rapidocr_box,47,891,47,"[[137.39, 842.92], [1028.64, 844.69], [1028.64, 892.4], [137.39, 890.64]]"
8,Call:--908-567-0987,0.917809009552002,Call:+1-908-567-0987,0.9960433006286621,rapidocr_box,45,447,45,"[[140.91, 940.12], [588.3, 940.12], [588.3, 986.06], [140.91, 986.06]]"
9,Emaill.infoclientdomain.com,0.9673634767532349,Email:info@clientdomain.com,0.9968931321744565,rapidocr_box,51,602,51,"[[139.15, 1035.54], [741.53, 1035.54], [741.53, 1086.79], [139.15, 1086.79]]"
10,Paymentetails,0.9894641041755676,Payment Details,0.9874514659245809,rapidocr_box,58,420,58,"[[139.15, 1176.91], [560.11, 1176.91], [560.11, 1235.23], [139.15, 1235.23]]"
11,Billmount:87965,0.9642997980117798,BillAmount:$7965,0.9956676624715328,rapidocr_box,47,394,47,"[[142.67, 1325.35], [537.22, 1325.35], [537.22, 1373.07], [142.67, 1373.07]]"
